index,sentence,length
368,And so what was the result of all that lying?,2.92
369,"Well, she sends it off to Genesis and it backfires because they keep recalling loans.",5.8
370,All that effort and they're still asked to repay $500 million in $250 million clips.,5.16
371,"To be clear, this is the worst case scenario Sam had dreamed of coming true.",4.18
372,"By September, FTX's borrows will have gone up to 13.7 billion.",4.18
373,"If you remember, just a bit ago, three months ago, it was 9.9 billion.",4.02
374,So things are spiraling out of control.,2.32
375,"And by November, things hit a breaking point.",2.32
376,"When that fake balance sheet, which they sent Genesis, got leaked to CoinDesk, a publication, and people started to read it and realized that FTX just didn't have the money and they started withdrawing from FTX.",13.72
377,"It's worth commenting here on the irony that this fake balance sheet, which was supposed to conceal how bad things were, was ultimately their downfall because even with all the changes they made, it still looked so bad to scare customers.",12.48
378,"You know, but ultimately the result was people just started withdrawing all their money and they couldn't, you know, fulfill that and they collapsed.",6.26
379,"I know a lot of people will point to CZ tweeting about FTX as like the catalyst for FTX collapsing, but actually that was just extra fuel to the fire.",9.58
380,The truth was FTX and Alameda just didn't have the money.,2.64
381,They hadn't had the money for a long period of time.,1.7
382,And that information got leaked through this like balance sheet.,3.56
383,"But ultimately that wasn't the most impactful moment of Caroline's testimony because all these numbers, you know, it's hard to know how much the jury is really resonating with it.",7.5
384,"But what I know they resonated with is what happened right after, which is when the government pulled up a grainy text between Sam and Caroline.",6.8
385,She's saying that she's in the best mood I've been in all year.,2.42
386,"Sam replies, why?",0.88
387,Because she's exciting?,0.92
388,"Quote, I think I just had an increasing dread of this day.",2.88
389,It was weighing on me for a long time.,1.42
390,"And now that it's actually happening, it just feels great to get it over with one way or another.",4.3
391,Now what happened next will not be shown in court records because transcripts don't show emotions.,4.82
392,But I wrote it down because I was there in the courtroom at the time.,2.74
393,Caroline starts bawling at this point.,2.34
394,"She starts expressing remorse, admitting to lying, crying over her guilt and dread.",4.18
395,"And look, I'm not going to read you her whole statement there, but I was watching the jury and I know for a fact they were moved by this.",7.44
396,"You know, they might not have understood all the numbers.",1.98
397,"They might not have understood the embezzlement, but they understand when a CEO starts crying about how guilty they were about what they were doing, what they knew they were doing the whole time.",9.8
398,And I think that was a really powerful moment.,2.62
399,And that's basically the end of the day.,1.28
400,"The next day, Caroline Ellison is up for cross-examination.",3.16
401,This is really the defense's chance to kind of land some shots.,3.32
402,And of course it doesn't happen.,1.92
403,"They try to focus in on the fact that Caroline is just trying to get a cooperation agreement, like with the government.",5.28
404,"The implication being that the only reason she admitted that, you know, she defrauded people, the only reason she's crying is because she wants to get a deal.",6.76
405,"But the problem with this was that then in redirect, this gets used against the defense when the prosecution uses that to release a tape showing Ellison admitting all of this prior in an all hands meeting.",11.96
406,"Starting last year, Alameda was kind of borrowing a bunch of money via open term loans and use that to make various illiquid investments.",11.22
407,"So like a bunch of STX and STX US equity, a bunch of like other ventures, investments, et cetera.",8.2
408,"Most of Alameda's loans got called and in order to like meet those lovery calls, we ended up like borrowing a bunch of funds on FTX, which led to FTX having a shortfall in user funds.",11.04
409,"Just in general, this looked bad.",2.36
410,"And I just want to say, I'm not trying to make the defense look bad.",3.5
411,I understand that I have a bias.,1.14
412,"But if you're thinking to yourself, wow, this video paints the defense as being bad, that's true.",5.86
413,But it's not because I'm trying to select things to make them look bad.,3.92
414,It just was like that.,1.98
415,And there's no other way to really say that.,2.16
416,And that's basically the end of the day.,1.34
417,"All right, up next, the prosecution has Zach Prince on the stand, CEO of BlockFi.",5.32
418,"Basically, the point of this was to share the fact that, you know, FTX or Alameda were sending these fake balance sheets around.",7.0
419,BlockFi would ultimately go bankrupt because they gave a bunch of loans to Alameda.,4.24
420,"But I think what's worth highlighting here is how convoluted some of these loans were, because it's worth understanding.",7.34
421,The only problem is I barely understand it.,2.56
422,"So in order to explain it, I just actually had someone else do it.",3.24
423,"Carly Riley has been covering the trial as well through her channel, Overpriced JPEGs.",3.68
424,And she's here to explain sort of how convoluted things were.,3.84
425,Let me see if I can get this in one shot.,1.3
426,"OK, FTX US gives a $400 million line of credit to BlockFi, who then starts lending $800 million to Alameda, who in exchange for that $800 million posts collateral back to BlockFi, who hold it in an account that they have on FTX, who lends basically all customer deposits,",22.8
427,"including BlockFi's collateral deposits, to Alameda, who then uses that money they borrowed from FTX to partially pay back lenders, including BlockFi, who they paid back $150 million to in November of 2022 as everything was imploding, but they never finished paying them back because they went bankrupt.",18.48
428,"All right, big thanks to Carly for that.",1.6
429,"To be honest, even still afterwards, I don't fully understand exactly how the BlockFi thing worked.",6.62
430,"But usually when things are unnecessarily complicated, it's because someone's trying to hide a ball somewhere.",6.76
431,So just understand that the reason a lot of these loans were structured in such a convoluted way was ultimately so that Alameda or FTX could benefit.,8.68
432,And that's ultimately what happened.,1.18
433,They ended up basically siphoning money out of BlockFi.,2.52
434,"All right, today we have another big witness, Nishad Singh.",4.98
435,"He's basically the head of engineering at FTX, but the reason he's important is because he describes finding out that Alameda had basically taken customer money and confronting Sam about it on this balcony, pictured here.",13.66
436,"Nishad says that he was pacing behind these baskets on the left, and Sam was reclined on one of the white-like chased chairs behind that.",8.1
437,"In fact, it's not too far from where we are now.",1.78
438,"Basically, Nishad confronts Sam saying, hey, Caroline's really freaked out about the net asset value situation, and so am I.",6.3
439,"According to Nishad, Sam then replied, I'm not sure what there is to worry about.",3.6
440,Net asset value is fantastic by almost any measure.,2.66
441,"Nishad replied, well, what about what Caroline said today?",2.36
442,And Gary said today that there's 13 billion borrowed and we can't pay it all.,3.5
443,"Sam said, right, that.",1.6
444,We are a little short on deliverables.,2.2
445,"He then says, this has been taxing me some 5% to 10% of my productivity for this year.",4.62
446,"Now, this is important because Sam and his defense's excuse traditionally has been, hey, I just found out about this debt, this giant debt that Alameda had in late 2022.",11.08
447,"I mean, look, I wasn't running Alameda.",2.54
448,I didn't know exactly what was going on.,2.64
449,I didn't know the size of their position.,2.16
450,"A lot of these are things I've learned over the last month that I learned as I was sort of frantically digging into this on November 6th, November 7th, November 8th.",9.42
451,But that excuse now falls flat because clearly we have him saying that he knew about this for over a year.,6.74
452,"After all, he claims it occupied 10% of his productivity.",3.48
453,So that blows a large hole in the defense's case that Sam was some innocent bystander.,4.96
454,"Now, today I had a bunch of other fun bits in it too, like spreadsheets of political donations, spreadsheets of venture capital investments, spreadsheets of celebrity endorsements.",8.96
455,"Yes, I like the spreadsheets.",1.22
456,There's fun data in there.,1.2
457,Like the fact that celebrity endorsements cost $1.13 billion.,4.8
458,"In general, just the feeling was that, hey, Alameda's burning cash even as their company is drowning in debt and nobody seems to care.",10.0
459,"All right, now we're on to the cross-examination of Nishad.",3.56
460,"And for the first time, this is where the defense starts to get their feet a little bit and things flipped pretty quick.",5.26
461,The consensus the day before was that all of that was terrible for Sam.,3.84
462,Nishad was a star witness.,1.18
463,He was there confronting Sam on the balcony.,2.4
464,He has this detailed story about how he did it.,2.64
465,"But when pressed for details, this is where things got really weak.",3.34
466,The defense brought up his lack of certainty earlier in his conversations.,4.02
467,"Quote, you told the prosecutors that you had a surprising amount of haziness when trying to recall events in June and July of 2022.",7.58
468,"Nishad responds, I don't remember saying those exact words.",2.84
469,There was a lot.,0.96
470,I didn't remember the details around from that time.,2.18
471,"Wait, which is it?",1.26
472,His testimony is based around him remembering exactly what he said to Sam McMuffreed.,4.12
473,Now he's saying he's hazy on the details?,2.54
474,But it gets worse.,0.82
475,"Nishad said that when he found out Alameda had stolen money, he felt really betrayed and described it as evil.",7.06
476,"But then the defense pointed out that Nishad himself had borrowed money, 3.7 million dollars, to buy a house for himself.",7.88
477,And where did he get that money?,1.6
478,"Well, he also took it from FTX, it turns out.",4.0
479,Which just destroys his credibility.,2.84
480,Because how can you think something's evil and then use it to get a big house for 3.7 million?,5.44
481,"So Nishad may have been the best storyteller for the prosecution, but he was also the easiest to pick apart for the defense.",6.66
482,"All right, day 11, we get Peter Easton, an accounting professor at Notre Dame.",5.18
483,His job is to trace what happened to the money at FTX.,3.54
484,He begins by showing a chart of the money Alameda owed FTX.,3.22
485,11.3 billion was the peak of their debts.,2.74
486,"So in theory, Alameda should have had that money they owed as a balance in the bank.",4.78
487,"But instead, the green line shows Alameda's actual balance in fiat they owed billions of dollars that they didn't have.",8.1
488,"Next, Peter Easton showed how this happened through commingling of funds.",3.98
489,"These are the different bank accounts that Alameda, FTX, their different entities owned.",4.98
490,"Theoretically, these all should be separate, which is why they're in their own boxes.",3.62
491,"But in reality, the transactions looked like this.",3.52
492,They were all sending money to each other.,1.68
493,This is why Alameda didn't have the money.,2.78
494,They spent it through these different shell companies.,2.68
495,Peter Easton broke down exactly how in four categories.,3.26
496,"Investments in businesses, political contributions, charities, and purchase of properties.",5.24
497,"Then he showed exactly what this looked like with charts like this, showing from left to right how customers' funds were sent to Alameda Research and then spent on some investment Sam himself wanted.",11.46
498,They even had chat logs of Sam directing these investments.,3.96
499,"Peter showed multiple examples like this, Alameda stealing customers' money.",3.9
500,We saw it over and over and over and over.,3.12
501,"The effect of all this was the feeling that almost all of SBF's donations, venture capital charity, politic contributions, it was all paid for by his customers, which led us, finally, to this.",13.72
502,"A pie chart showing what Alameda owed customers, along with a breakout of what they actually spent it on.",6.02
503,"And lo and behold, only a small fraction, $2.3 billion, was held aside for actual customers.",6.44
504,Everything else was spent on things like this.,3.34
505,And seeing this chart was devastating for Sam because it simplified an incredibly complicated topic.,4.68
506,It's basically one easily readable chart.,2.74
507,"Now, we're going to come back to Peter Easton because he's really interesting.",3.38
508,"But first, I need to talk about what happened the next day.",3.88
509,"So up on the stand, we have Ken Sun on day 12, FTX's general counsel.",6.42
510,He's being asked about what happened during the collapse of FTX when they're looking to raise money to save the company.,5.46
511,"Now, at some point, they turn to a company called Apollo, which only is important because Apollo finds out FTX is $7 billion short on customer funds.",9.12
512,And they ask Sam for a legal justification as to why the funds were missing at Alameda.,6.2
513,"And he asked me, Ken Sun, to come up with a legal justification.",4.36
514,"The prosecution then asks, and did you come to any conclusions?",3.02
515,"Answer, yes, that there were no legal justifications for the money being taken away.",5.38
516,"Ken Sun eventually admits, though, quote, I did tell him that there were theoretical arguments, but none of them was supported by the facts.",7.12
517,And one of those theoretical arguments became the famous margin lending defense.,5.24
518,"Basically, in FTX's terms of service, there were two types of customers, regular customers and margin trading customers.",6.46
519,Regular customers couldn't have their assets lent out.,2.94
520,Margin trading customers had a separate TOS where they agreed that they could have their funds lent out.,5.12
521,"And the theoretical argument is that whenever Alameda borrowed money, they weren't borrowing from regular customers.",6.34
522,"They were borrowing from these margin lending customers, which they were allowed to do.",4.42
523,"The only issue with this is that Ken Sun said that he, quote, previewed this argument with Nashad and Ramek, and they had pulled some numbers that showed that it was not supported by the facts.",8.96
524,"Question, did you relay that to the defendant?",2.2
525,"Answer, yes.",0.82
526,How did he acknowledge it?,1.06
527,"He said, yup, yup.",1.34
528,"Okay, we know this is true because of Peter Easton's testimony earlier, who showed some of these numbers.",7.14
529,"On this graph in red, you have how much Alameda owed customers.",3.1
530,"And in green, you have how much Alameda was borrowing in the spot margin program.",4.86
531,"As you can see, there are billions of dollars still missing that couldn't be explained by this argument.",5.2
532,"Despite this, Sam would still try to use it later in interviews with people like George Stephanopoulos.",5.72
533,My understanding is a few things happen.,1.72
534,"The first is there is a margin trading facility on FTX by which users can lend out funds, by which other users borrow funds.",7.84
535,"And so there are explicit cases where there is, you know, margin extended where there is borrow lending.",5.66
536,"If Alameda is borrowing the money that belongs to FTX depositors, that's a bright red line, isn't it?",8.52
537,There are a lot of cases where that's actually explicitly part of the programs and that are happening.,5.18
538,Here it says that the digital assets may not be loaned to FTX trading.,3.1
539,"As you can see there, Sam is just sort of trying out this argument, see if anyone bites.",4.44
540,"But even at the time, I knew that this couldn't be true because we had evidence that it wasn't.",4.72
541,And I confronted Sam about it.,1.84
542,"But I talked to somebody from Alameda and asked how big the position of like, or how many people had assets in the type of accounts that that terms of service would apply to versus the regular terms of service, which said you couldn't use their money.",13.4
543,And they said it was about a billion that was in the margin trading or the margin like side of things where you could reuse their funds or whatever.,9.28
544,And there was the rest of it was not there.,2.24
545,So does that mean the rest of the money was stolen?,3.08
546,"I mean, like, it seems like you're putting all your eggs behind this one excuse about, you know, there was this separate side of the terms of service.",7.08
547,How do you address everyone else?,1.6
548,So I don't have all the data for me.,2.82
549,My memory is that it was substantially more than a billion in the margin trading program.,5.48
550,But I don't have that data in front of me right now.,2.88
551,So I can't verify that.,1.74
552,"Well, now we do have the real numbers.",1.62
553,"And of course, as Kan Sun, his lawyer, told Sam at the time, the argument makes no sense because the numbers just don't support what he's saying.",8.24
554,And we were right.,0.94
555,"Day 13, this basically marks the end of the prosecution's case and the beginning of the defenses.",5.8
556,"Now, originally we said they didn't really have many people who were gonna testify besides Sam Beckman Freed.",5.74
557,"Eventually, the defense did find one guy, and that is Joseph Pembley, a financial consultant who takes the stand next.",7.04
558,"Now, his job is basically to undo the work of Peter Easton and provide an alternative financial case.",7.22
559,"To do this, he claimed that 78% of accounts on FTX had spot margin lending enabled, trying to give credit to this margin lending explanation.",10.78
560,"Or to put it another way, only $2 billion that were borrowed wouldn't be allowed.",4.8
561,"To be honest, this was pretty confusing because this basically flips Peter Easton's testimony on its head.",5.7
562,You have these two financial experts basically both saying opposite things.,4.18
563,"So to draw a distinction between these two witnesses, the prosecution in cross asked Mr.",5.58
564,Pembley if he had only looked at the FTX database.,3.34
565,"Pembley says, yes, that is correct.",1.46
566,"Question, you can't draw further conclusions beyond that.",2.64
567,Correct.,0.24
568,"They point out, question, you didn't look at the fiat at account in FTX, did you?",4.0
569,"And you did not engage in any financial tracing, correct?",2.92
570,"Pembley answers, of course not.",1.26
571,"No, no, sir.",1.0
572,"The idea here being to distinguish Peter Easton as the person who actually traced crypto and fiat, whereas Pembley just looked at a single database that FTX maintained and could have tainted.",11.36
573,"Even though I guess they had a point here, I do think this was a net win for the defense because the goal, and I think what they achieved, was muddying the waters by presenting their own set of numbers that was very different.",13.02
574,"And look, speaking of alternative stories, this is where things got really interesting because the defense next calls up their star witness, I guess, Sam Bankman Freed to the stand.",11.02
575,"All right, let me start this by saying it is very risky when a defendant testifies because it can open you up to cross-examination.",8.12
576,"But at this point, I think everyone agreed that Sam doesn't really have much to lose, and he loves to talk.",5.76
577,And so Sam's explanation for what happened the last few years began.,3.74
578,And you won't be surprised to find out that it's very different from the prosecution story.,4.1
579,"Now, some of it consisted of innocent explanations, things like how Sam auto-deleted messages on Signal that a prosecution kind of implied he was hiding evidence.",9.6
580,"Sam claims this was just a precaution, he learned, called the New York Times test, where you want to avoid writing things down because a lot of innocuous things can look pretty bad out of context.",12.02
581,"Other times, Sam wouldn't just say it was innocent, he would claim ignorance of what was happening.",4.58
582,"He would say things like, I wasn't entirely sure what was happening, and I wish I had a better understanding than I did.",6.3
583,And there were teams that were managing this process.,2.82
584,Sam even says he didn't even know about the $8 billion hole in his company called the Fiat ad account.,5.22
585,"Quote, did you know what Fiat ad was at the time?",2.56
586,No.,0.24
587,Did you later learn?,1.06
588,Yes.,0.38
589,"Sam says he didn't even have conversations about it until October of 2022, which, if you remember, directly contradicts what we heard from other employees.",8.88
590,He even claims he was very surprised when he found out they owed $8 billion.,3.44
591,"Basically, his version of events has him, the surprise CEO, you know, at the helm of the Titanic, who only finds out it's all sinking when it's too late to say it.",9.4
592,"And all of the illegal actions taken by his, you know, company were really because of Caroline Ellison, Nishad, and Gary.",8.02
593,And all of it was without his knowledge.,1.54
594,"And look, look, it's, I guess it's a story.",1.96
595,It's a nice story.,0.64
596,But is it going to hold up to Cross?,2.0
597,Let's find out.,1.04
598,"Okay, Sam is up on the stand.",2.0
599,Ms.,0.18
600,Sassoon is the lawyer for Cross Examination.,2.02
601,He's basically evasive.,1.24
602,She's ruthless.,0.88
603,So here's what happened next.,1.64
604,Ms.,0.5
605,"Sassoon asks, Were you not involved at all in Alameda trading in 2022?",4.02
606,"Sam says, I was not involved as a general principal in day-to-day trading.",3.6
607,Then Ms.,0.54
608,"Sassoon showed him being involved in day-to-day trading, oxy, and maps, with text messages to Caroline saying, one to two million dollars of each over the next day or two.",10.98
609,"Question, did you see that?",1.3
610,Yep.,0.3
611,And so began the ruthless destruction of Sam's credibility.,3.98
612,He would say he didn't do something.,1.84
613,"And then basically, we'd get hard evidence that he did.",2.76
614,"We also got a really annoying strategy from Sam, where he just would try to dodge every question about things he said in the past.",7.24
615,Do you recall that?,1.52
616,"Sam would say, Not specifically, but I'm not saying that I didn't.",3.58
617,Or Ms.,0.4
618,"Sassoon would ask, Yes or no, you stated on this podcast, you were not involved at all in Alameda trading.",5.9
619,"Sam, I don't recall what I said.",2.06
620,And then we would just hear this.,2.42
621,I wasn't super involved in Alameda.,2.1
622,I was not involved at all in the trading.,1.5
623,I hadn't been for years.,1.84
624,"Things continued like this, with Sam saying things like, I'm not sure.",2.78
625,I don't remember.,0.82
626,"Quote, I don't remember what I said.",1.8
627,And Ms.,0.28
628,"Sassoon, each time would show him exactly what he said he doesn't remember.",4.22
629,"And Sam basically refused to say yes, even to things that were obviously true.",4.86
630,"Like a question, Did you or did you not market FTX International as safe?",4.18
631,"Yes, he did that like a million times.",1.72
632,"He'd say, I don't specifically remember that.",2.76
633,I'm not sure.,0.8
634,"Which I'm not sure the benefit of saying you don't remember this, but there are definitely negatives to it, which was pissing off the judge and the jury.",9.18
635,"After all, Sam's whole case rests on his version of events, which is very different from everyone else's.",6.42
636,"But when pressed on basic statements he made, if he suddenly gets amnesia and can't recall, why should anyone believe it when he does recall things?",8.96
637,"This felt like a really big trap had been set for Sam, and he kind of just walked right into it.",5.66
638,"Not that things went better for him when he did answer though, because at some point Ms.",4.5
639,"Sassoon asked about regulation, and he did answer that.",2.72
640,"Question, you wanted your followers to think that consumer protection was important to you, right?",3.98
641,"Answer, sure.",0.82
642,"But this was really just for PR, wasn't it?",2.02
643,"Answer, no.",0.92
644,"She then pulls up a message Sam himself wrote, and had him read it out to the jury, saying, yeah, just PR, f*** regulators.",8.56
645,"And look, that's a lot.",3.52
646,"Just on paper, that's already so damning.",2.94
647,But having Sam himself actually repeat it back to the judge and jury just encapsulates this story so well.,6.88
648,"Because from the beginning, Sam believed he can talk his way out of this, only to have himself eviscerated, not necessarily by other people, but by his own words most of all.",11.4
649,There's just something so poetic about that.,2.44
650,"And look, cross-examination went on for a while, but I think that was the most powerful moment for me personally.",6.78
651,And it concludes the major revelations from his testimony.,2.48
652,"So now, after hearing all the evidence, I think it's time for a jury decision.",4.08
653,"All right, we have a verdict.",2.94
654,"It's only been three hours since the jury started deliberating, which usually means it was a fast decision.",5.68
655,"So if you want to put in your thoughts at home, I have the verdict right here.",3.86
656,All seven counts.,2.3
657,"Guilty, baby.",0.8
658,"So this is a pretty happy ending, obviously, for me, but we won't know the sentencing until March.",6.66
659,"In fact, I think it's a happy ending for me.",1.26
660,"For a lot of the customers, at least some cold comfort, that there looks like there's going to be some justice done here.",6.74
661,"And for this case, for now, it's over.",2.82
662,"Either way, hope you enjoyed this detailed look at the FTX trial.",3.54
663,Thanks for watching.,1.38
664,"Okay, before you go, I just wanted to say I'm going to be releasing some tasteful photos for my bathtub shoot on Patreon as wallpapers.",7.28
665,"Coffee hasn't paid its tab in weeks, and I'm broke.",2.32
666,What are you whispering about over there?,1.24
667,"Oh, nothing.",0.98
668,I'm just telling everybody they can get early access to these amazing videos on Patreon by supporting us.,5.96
669,"Hey, that's actually pretty nice.",1.36
670,"Thanks, Maxwell.",0.64
671,"You know, to think I was mad at you earlier.",2.44
672,All is forgiven.,1.0
673,That's good.,0.52
674,"You know, last thing, I found this camera of yours, and there's some pretty insane photos you took.",5.94
675,"We're deleting these, right?",1.12
676,We can't show the public this.,1.22
677,"Oh, those?",0.56
678,Of course.,0.68
679,"You know, you've been working so hard.",1.88
680,Let me take care of that for you.,1.36
681,You get going now.,0.88
682,"Well, thanks.",0.64
683,"Yeah, sure.",0.36
684,Just take care of it.,1.2
685,And I think I'm done with the $40 million penthouse.,2.5
686,See you back at the bar.,0.84
